🍥吾爱评测,#genre#
1,https://alimov2.a.kwimgs.com/upic/2022/08/11/11/BMjAyMjA4MTExMTI1MzRfODE5MDU2ODA2XzgxNTMzNjE2Mzc0XzBfMw==_b_Bf0c2f43f658a896209f63055c8fc613f.mp4?tag=1-1700050763-unknown-0-f6cuomrlwn-0bbffecb61c44c1b&clientCacheKey=3xu72vi3eeqkyg9_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
2,https://alimov2.a.kwimgs.com/upic/2022/08/11/16/BMjAyMjA4MTExNjI4NTZfODE5MDU2ODA2XzgxNTU1NzgyMzMxXzBfMw==_b_Bc80be2e8edff26c3bd0e760da49a3d1e.mp4?tag=1-1700051043-unknown-0-wif4olwa3p-f3e011dd50f07d4a&clientCacheKey=3xm2ft6qnme3s4w_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
3,https://alimov2.a.kwimgs.com/upic/2022/08/12/01/BMjAyMjA4MTIwMTEyMzJfODE5MDU2ODA2XzgxNTk2NDg5NTQ4XzBfMw==_b_B4c21884cfd288ae3bcc72afc87042712.mp4?tag=1-1700051151-unknown-0-jywcbnlhxu-fa59b7710e2133bc&clientCacheKey=3xwxqhhrbi96rq6_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
4,https://alimov2.a.kwimgs.com/upic/2022/08/13/11/BMjAyMjA4MTMxMTQ1NTJfODE5MDU2ODA2XzgxNzAwNzM4MDc1XzBfMw==_b_Bc42347e436bcd91a6308d9823e8fa0d1.mp4?tag=1-1700051236-unknown-0-4wgidvqqiu-6c9cfb10265acafd&clientCacheKey=3xpse85u8a86vm2_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
5,https://txmov2.a.kwimgs.com/upic/2022/08/14/11/BMjAyMjA4MTQxMTIyMThfODE5MDU2ODA2XzgxNzgzNzMzMDYxXzBfMw==_b_B2150025880b98826fcda57422d1c4415.mp4?tag=1-1700051348-unknown-0-2n8skbqf7y-f966cdd437866add&clientCacheKey=3x5bnuzgqxa5y3u_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
6,https://alimov2.a.kwimgs.com/upic/2022/08/15/11/BMjAyMjA4MTUxMTM3MTBfODE5MDU2ODA2XzgxODY5MjAzNTYxXzBfMw==_b_B11a8dcabae84fac7c9f395956efbede5.mp4?tag=1-1700051456-unknown-0-kumirf5az5-d2ba9300b2dafc25&clientCacheKey=3x56g6kr662dsaa_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
7,https://txmov2.a.kwimgs.com/upic/2022/08/16/16/BMjAyMjA4MTYxNjQ4MTZfODE5MDU2ODA2XzgxOTc1MDAyNzgyXzBfMw==_b_B515971b7459634b93b27f58670cefdd8.mp4?tag=1-1700051515-unknown-0-wadxawq8hz-fe02def08d9581c1&clientCacheKey=3xcb9nrjfwe3ihw_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
8,https://alimov2.a.kwimgs.com/upic/2022/08/17/16/BMjAyMjA4MTcxNjI1NDVfODE5MDU2ODA2XzgyMDU0NzE3MjQzXzBfMw==_b_Bb2a7a6afeeb49bde60c6637e3e497a45.mp4?tag=1-1700051587-unknown-0-krn2uvb96g-cd7d8c242b274bd2&clientCacheKey=3xwn532ushg4tsc_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
9,https://txmov2.a.kwimgs.com/upic/2022/08/18/14/BMjAyMjA4MTgxNDAwMTBfODE5MDU2ODA2XzgyMTI1OTA1Mjc4XzBfMw==_b_B2230671c71fefa6a482ca91d5951dd9a.mp4?tag=1-1700051646-unknown-0-sngo0rwp0w-a8e288ad99325ac9&clientCacheKey=3x7g5qzavniidcs_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
10,https://txmov2.a.kwimgs.com/upic/2022/08/20/11/BMjAyMjA4MjAxMTQyMjNfODE5MDU2ODA2XzgyMjc5Njg5MzE5XzBfMw==_b_B528207792441f5a88bebacadb6475f99.mp4?tag=1-1700051741-unknown-0-inr87lvwr4-dfaad39192e86acd&clientCacheKey=3xfbs4jsmjeipgi_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
11,https://alimov2.a.kwimgs.com/upic/2022/08/23/13/BMjAyMjA4MjMxMzQ3MjVfODE5MDU2ODA2XzgyNTMzOTIwODEyXzBfMw==_b_Bc7dfb1f7eddfe29da31d7c03048cbd08.mp4?tag=1-1700051808-unknown-0-k6baqb5chi-b9f24bf0ebfc2ef3&clientCacheKey=3xbgacc93azn65q_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
12,https://alimov2.a.kwimgs.com/upic/2022/08/25/16/BMjAyMjA4MjUxNjAyMThfODE5MDU2ODA2XzgyNzAzNzA5MDc4XzBfMw==_b_B6541796da07e6434dc0caa5723891401.mp4?tag=1-1700051959-unknown-0-axi00d4cj2-b239e58459c9bf86&clientCacheKey=3xwuvjthrrinbpk_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
13,https://alimov2.a.kwimgs.com/upic/2022/08/27/10/BMjAyMjA4MjcxMDMzMjVfODE5MDU2ODA2XzgyODQwNTczMDE5XzBfMw==_b_B74022fcfcbafdaad327c209cf5652808.mp4?tag=1-1700052027-unknown-0-txj8enrwo9-28d5d7376c2fe792&clientCacheKey=3x2a8x979p83ag9_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
14,https://alimov2.a.kwimgs.com/upic/2022/08/30/14/BMjAyMjA4MzAxNDQxMTZfODE5MDU2ODA2XzgzMDk2NDAxMDYyXzBfMw==_b_B271886a765b7be5ee2974f4bb47889c1.mp4?tag=1-1700052072-unknown-0-kbo7nvbxcg-8326e9b32f2c8d6d&clientCacheKey=3xiymkadsmua8qa_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
15,https://txmov2.a.kwimgs.com/upic/2022/09/01/16/BMjAyMjA5MDExNjAwNTNfODE5MDU2ODA2XzgzMjQzMjE1NzA2XzBfMw==_b_Bbb9482a5229cce53cd8986e49906e506.mp4?tag=1-1700052161-unknown-0-jsapnob1uu-ccf1ca508887b3fe&clientCacheKey=3xavpyga5qnj74c_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
16,https://alimov2.a.kwimgs.com/upic/2022/09/03/11/BMjAyMjA5MDMxMTAyMTBfODE5MDU2ODA2XzgzMzY0MTg2OTkxXzBfMw==_b_Bedef7f3ed5b4ef0a5761f2fc8b0fb22b.mp4?tag=1-1700052209-unknown-0-u0djticrd1-6e1278621698adff&clientCacheKey=3xfua97reb8wxcm_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
17,https://alimov2.a.kwimgs.com/upic/2022/09/06/14/BMjAyMjA5MDYxNDExMjFfODE5MDU2ODA2XzgzNTkxOTIyNjQzXzBfMw==_b_Bed3703cce0fc1393a27757240306ba95.mp4?tag=1-1700052270-unknown-0-sicfzoz4ai-82e326917051a37d&clientCacheKey=3xgjai6vvgfugwc_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
18,https://alimov2.a.kwimgs.com/upic/2022/09/06/14/BMjAyMjA5MDYxNDIyMjFfODE5MDU2ODA2XzgzNTkyNDcwMjMyXzBfMw==_b_B2fdd2e9a62c62800d5ee12db6695eb4e.mp4?tag=1-1700052329-unknown-0-fbvdvicg2u-ddaab07099351d6c&clientCacheKey=3xmsgfvwaq52it2_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
19,https://alimov2.a.kwimgs.com/upic/2022/09/10/11/BMjAyMjA5MTAxMTI2MDNfODE5MDU2ODA2XzgzODYwNDUwNTM5XzBfMw==_b_B00b6f2c60e967189ea179c75ebd94053.mp4?tag=1-1700052375-unknown-0-ardmpihdlh-2d7f04906657c20f&clientCacheKey=3xwp2utmk4uqmuw_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
20,https://txmov2.a.kwimgs.com/upic/2022/09/13/15/BMjAyMjA5MTMxNTU2MjFfODE5MDU2ODA2Xzg0MTM2NzU2Mjk5XzBfMw==_b_B942644d667710395042c17d30715499e.mp4?tag=1-1700052426-unknown-0-wrql1jerug-46a6a895ab1cffdd&clientCacheKey=3xht4wx2xs9ctrm_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
21,https://txmov2.a.kwimgs.com/upic/2022/09/15/16/BMjAyMjA5MTUxNjAxMjRfODE5MDU2ODA2Xzg0MjYzMzkzMjAzXzBfMw==_b_B99de2666ed486558d0727903406280d7.mp4?tag=1-1700052478-unknown-0-vjcotqghh3-e37f1db647dcd939&clientCacheKey=3x5hyqktiq6zqsm_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
22,https://txmov2.a.kwimgs.com/upic/2022/09/17/10/BMjAyMjA5MTcxMDU5NDdfODE5MDU2ODA2Xzg0MzgyODcxMTE0XzBfMw==_b_B0b5dfdb155c9e2b86e0bced5235e5e1b.mp4?tag=1-1700052521-unknown-0-m4srcqkzfa-f66196d4e50e4b91&clientCacheKey=3xj4r7sfr92txhc_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
23,https://alimov2.a.kwimgs.com/upic/2022/09/20/16/BMjAyMjA5MjAxNjEwMTdfODE5MDU2ODA2Xzg0NjE5ODI5NjkyXzBfMw==_b_B16b4d4175c627d5eb36280a5aca204cc.mp4?tag=1-1700052615-unknown-0-ensyxuiyyj-a5ff1b009d5e21b2&clientCacheKey=3x324bxktptt884_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
24,https://alimov2.a.kwimgs.com/upic/2022/09/22/15/BMjAyMjA5MjIxNTA1MzFfODE5MDU2ODA2Xzg0NzQ1NTE0Mjk4XzBfMw==_b_Bdb779badd8341b435d65a8588829e940.mp4?tag=1-1700052650-unknown-0-4e4bi0qb4u-d6c158bee17c8c97&clientCacheKey=3xmxwtt2ye6vvnu_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
25,https://alimov2.a.kwimgs.com/upic/2022/09/22/15/BMjAyMjA5MjIxNTE3MjNfODE5MDU2ODA2Xzg0NzQ2MTEyNDIyXzBfMw==_b_B219b47aa61fe08c9dbfa4c12b860132f.mp4?tag=1-1700052711-unknown-0-bt9vnrmizt-a8490d0ec172a077&clientCacheKey=3xyaxbb95hq58h4_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
26,https://alimov2.a.kwimgs.com/upic/2022/09/27/02/BMjAyMjA5MjcwMjA5MzNfODE5MDU2ODA2Xzg1MDgzNzExNDc1XzBfMw==_b_B30584eed7abde09722345a7fbc5fa48e.mp4?tag=1-1700052771-unknown-0-6nq0yo7nbk-50f261b85743aa50&clientCacheKey=3xkj8ygqijuuh56_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
27,https://alimov2.a.kwimgs.com/upic/2022/09/29/00/BMjAyMjA5MjkwMDEyNThfODE5MDU2ODA2Xzg1MjA4MDUwNjMyXzBfMw==_b_B780210189017d7a38b4695c1b28d1caf.mp4?tag=1-1700052920-unknown-0-nd2ypdaybf-c30da54d2b45bc9e&clientCacheKey=3xmgfmmj56p59iu_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
28,https://alimov2.a.kwimgs.com/upic/2022/10/01/23/BMjAyMjEwMDEyMzU4NDZfODE5MDU2ODA2Xzg1NDU1NDI1OTEwXzBfMw==_b_Bbccd7d645ed06a3fbec64a7ea1232669.mp4?tag=1-1700052962-unknown-0-qfqxpbyzc8-c013336b12229fab&clientCacheKey=3xy4us9pwwx6yyk_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
29,https://txmov2.a.kwimgs.com/upic/2022/10/02/00/BMjAyMjEwMDIwMDA1NTJfODE5MDU2ODA2Xzg1NDU1Nzk5NjYyXzBfMw==_b_B8b13fb0386795dc3318feb6c2909d92a.mp4?tag=1-1700053012-unknown-0-suhffeqlxb-015a282466dedb73&clientCacheKey=3x43szk8uvcd2ak_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
30,https://txmov2.a.kwimgs.com/upic/2022/10/04/14/BMjAyMjEwMDQxNDI1NTZfODE5MDU2ODA2Xzg1NjgyMzIyMTYyXzBfMw==_b_B2ebcf2cb87aabb861c22180511ec9327.mp4?tag=1-1700053053-unknown-0-ptfa0qoz6l-81d72cb8cf0a6e62&clientCacheKey=3x8vgsi7bsx6qbm_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
31,https://alimov2.a.kwimgs.com/upic/2022/10/04/14/BMjAyMjEwMDQxNDM0MjZfODE5MDU2ODA2Xzg1NjgyOTk0Njg5XzBfMw==_b_B8329d2d02b913f274e199eed31612ef3.mp4?tag=1-1700053089-unknown-0-ng7doh0ssk-7771971839a72988&clientCacheKey=3xe88nkbc7n2rwc_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
32,https://txmov2.a.kwimgs.com/upic/2022/10/04/14/BMjAyMjEwMDQxNDM5NTlfODE5MDU2ODA2Xzg1NjgzNDMyNjE2XzBfMw==_b_Bc2dd11cae952c8057a261326c91434f5.mp4?tag=1-1700053126-unknown-0-ynszv0yxil-69b320eb9735e292&clientCacheKey=3xadyuf9pqxskya_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
33,https://v4-vod.kwaicdn.com/bs3/video-hls/5200813227144151546_hlsb.m3u8?ftt=R&pkey=AAVYJfh7jYdGjUBgRFPPUak_YARtp2uCMR9fVhWhLWNcI2CDm11eqF4PjttlAoROTf_XNLoQeepbK7x2Qd9LPwHPAqvG9ZOul1gItDCRA231pImXGFtd9Zzv95Hs9LfcrRc&ss=vp
34,https://v4-vod.kwaicdn.com/bs3/video-hls/5217701733202001401_hlsb.m3u8?ftt=R&pkey=AAVE_lW3nAWHkQqImjkDwMJNuatztOVl4S9spHjvGDNDGcjm1pK7Lwp8PxhGmHu1VgiwIsrBbyHdu9EHrzUEWcpc5HrZo_ZltutKNx37JSDEvD2a75WZw9giAVsmQoZNsms&ss=vp
35,https://txmov2.a.kwimgs.com/upic/2022/10/13/16/BMjAyMjEwMTMxNjM2NTJfODE5MDU2ODA2Xzg2MzUwNjMzMjg0XzBfMw==_b_B6f7172ec0647ee5c128985c002293bb5.mp4?tag=1-1700053385-unknown-0-v9utzpu5cx-f9382a9f9b22b84e&clientCacheKey=3xvnzd6vsfzxhku_b.mp4&di=df4912f8&bp=10000&tt=b&ss=vp
36,https://v2-vod.kwaicdn.com/bs3/video-hls/5251197252966574228_hlsb.m3u8?ftt=R&pkey=AAVOgWpVFbCGA38YkIHemrC3cc4pJgUHkRyjsYq7cPsQv-OrS493A-88zqiKZL7QFuUvRx6pEt1tf7D7mg5MCy_j2RWQVgK1E4znB2Tu8jm6smrHB-IDiV1O5OoL4PZiI1c&ss=vp


🇨🇳｜历年春晚,#genre#	
春晚1983,https://vd2.bdstatic.com/mda-nmgf0aiczefpbjyv/360p/h264/1671273368681637465/mda-nmgf0aiczefpbjyv.mp4	
春晚1984,http://txmov2.a.kwimgs.com/upic/2022/01/31/15/BMjAyMjAxMzExNTU5NTRfNDAzMDAxOTlfNjYyNzMyMzg3MTRfMF8z_b_B192356dadbc90d207ba16964d4c2914c.mp4	
春晚1985,http://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDFfNDAzMDAxOTlfNjYyNzMyNTAwMzJfMF8z_b_Be73c5abcbc0eeb2ec9fce6842e1362a4.mp4	
春晚1986,https://txmov2.a.kwimgs.com/bs3/video-hls/5231493982164619599_hlshd15.m3u8	
春晚1987,https://txmov2.a.kwimgs.com/bs3/video-hls/5195746663405928031_hlsb.m3u8	
春晚1988,https://txmov2.a.kwimgs.com/bs3/video-hls/5216575810935394655_hlsb.m3u8	
春晚1989,http://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTVfNDAzMDAxOTlfNjYyNzMyNzQ2OTlfMF8z_b_Be477b27b9ce655d2372df56a5a3d96ef.mp4	
春晚1991,https://txmov2.a.kwimgs.com/bs3/video-hls/5210664837540712798_hlshd15.m3u8	
春晚1992,https://txmov2.a.kwimgs.com/bs3/video-hls/5256826755663896297_hlshd15.m3u8	
春晚1993,https://txmov2.a.kwimgs.com/bs3/video-hls/5217420261875933947_hlshd15.m3u8	
春晚1994,https://txmov2.a.kwimgs.com/bs3/video-hls/5197154061406974711_hlshd15.m3u8	
春晚1995,https://txmov2.a.kwimgs.com/bs3/video-hls/5255137907893179578_hlshd15.m3u8	
春晚1997,https://txmov2.a.kwimgs.com/bs3/video-hls/5230649583590411879_hlshd15.m3u8	
春晚1998,https://txmov2.a.kwimgs.com/bs3/video-hls/5225864507896315430_hlshd15.m3u8	
春晚1999,https://txmov2.a.kwimgs.com/bs3/video-hls/5258234133675308186_hlshd15.m3u8	
春晚2000,https://txmov2.a.kwimgs.com/bs3/video-hls/5216294359327079321_hlshd15.m3u8	
春晚2001,https://txmov2.a.kwimgs.com/bs3/video-hls/5228960735897942616_hlshd15.m3u8	
春晚2002,https://txmov2.a.kwimgs.com/bs3/video-hls/5255700858599864364_hlshd15.m3u8	
春晚2004,https://txmov2.a.kwimgs.com/bs3/video-hls/5223894184413450769_hlshd15.m3u8	
春晚2005,https://txmov2.a.kwimgs.com/bs3/video-hls/5254012008863954469_hlshd15.m3u8	
春晚2006,https://txmov2.a.kwimgs.com/bs3/video-hls/5194339310474320155_hlshd15.m3u8	
春晚2007,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953534755647343_hlshd15.m3u8	
春晚2008,https://txmov2.a.kwimgs.com/bs3/video-hls/5194902262344826321_hlshd15.m3u8	
春晚2009,https://txmov2.a.kwimgs.com/bs3/video-hls/5210946337266019890_hlshd15.m3u8	
春晚2014,https://txmov2.a.kwimgs.com/bs3/video-hls/5245286283437869627_hlshd15.m3u8	
春晚2019,https://txmov2.a.kwimgs.com/bs3/video-hls/5222205336887088723_hlshd15.m3u8	
春晚2020,https://txmov2.a.kwimgs.com/bs3/video-hls/5248101009010430183_hlshd15.m3u8	
春晚2021,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzE4NTJfNDAzMDAxOTlfNjYxNzUzOTg3NjlfMF8z_b_Be41d9503181d7b0608a839ed401e02c2.mp4	
春晚2022,http://txmov2.a.kwimgs.com/upic/2022/02/01/11/BMjAyMjAyMDExMTEwMjNfNDAzMDAxOTlfNjYzNzA4MTk4NzNfMF8z_b_B898cc7ddd0025bf54ddb18ec1f723c84.mp4	
春晚2023,https://txmov2.a.kwimgs.com/bs3/video-hls/5251197255879398624_hlshd15.m3u8	
春晚2020,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzA5NDdfNDAzMDAxOTlfNjYxNzQ2MDAyMTFfMF8z_b_B5d51d9564c5670dc66faeba20aa7af3f.mp4	
🇨🇳｜央视频道,#genre#
CCTV1,http://120.196.232.19:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226737/1.m3u8
CCTV2,http://120.196.232.54:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226739/1.m3u8
CCTV3,http://120.196.232.50:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226720/1.m3u8
CCTV4,http://120.196.232.27:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226725/1.m3u8
CCTV5,http://120.196.232.31:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226731/1.m3u8
CCTV5+,http://120.196.232.51:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226711/1.m3u8
CCTV6,http://120.196.232.25:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226699/1.m3u8
CCTV7,http://120.196.232.31:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226721/1.m3u8
CCTV8,http://120.196.232.17:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226715/1.m3u8
CCTV9,http://120.196.232.36:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226651/1.m3u8
CCTV10,http://120.196.232.27:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226708/1.m3u8
CCTV11,http://120.196.232.55:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226714/1.m3u8
CCTV12,http://120.196.232.51:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226723/1.m3u8
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mhd.m3u8
CCTV14,http://120.196.232.27:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226645/1.m3u8
CCTV15,http://120.196.232.38:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226648/1.m3u8
CCTV16,http://120.196.232.15:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226825/1.m3u8
CCTV17,http://120.196.232.43:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226727/1.m3u8

CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8
CCTV4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8
CCTV9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV10,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV13,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV14,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV15,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8

🛰️｜️移动专区,#genre#
CCTV1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8
CCTV2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV5,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5+,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8
CCTV6,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV7,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV8,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV9,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV10,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV11,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226240/index.m3u8
CCTV12,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226190/index.m3u8
CCTV13,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV14,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV15,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV16,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV17,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226198/index.m3u8
